Marca temporal,¿Cuál es su edad?,¿Cuál es su nivel educativo?,¿Cuál es su ocupación?,¿En qué tipo de vivienda reside?,¿Cuál es su nivel de ingresos mensual?,¿En qué área o zona de la ciudad reside?,¿Qué dispositivos electrónicos posee actualmente? ,¿Con qué frecuencia actualiza o reemplaza estos dispositivos?,¿Cuántos dispositivos electrónicos ha adquirido en el último año?,¿Cuántos dispositivos electrónicos tiene en desuso actualmente?,"Cuando un dispositivo electrónico deja de funcionar, ¿cuál es su primera acción?",¿Qué hace con los dispositivos electrónicos cuando ya no los utiliza?,¿Con qué frecuencia lleva sus dispositivos electrónicos al reciclaje?,¿Qué tipo de dispositivos electrónicos ha reciclado en el último año?,¿Qué tipo de dispositivos electrónicos ha desechado en el último año?,¿Está informado sobre los centros de reciclaje para residuos electrónicos en su área?,¿Ha participado alguna vez en campañas de reciclaje de dispositivos electrónicos? ,¿Cuán importante considera el reciclaje de dispositivos electrónicos?,¿Qué barreras enfrenta para reciclar dispositivos electrónicos? ,¿Qué factores le motivarían a reciclar más sus dispositivos electrónicos? ,"¿Está familiarizado con tecnologías que monitorean el uso de dispositivos electrónicos?,¿Estaría dispuesto a utilizar una aplicación móvil que le ayude a gestionar y reciclar sus dispositivos electrónicos?,¿Qué tan cómodo se sentiría usando aplicaciones o dispositivos que ayudan a gestionar el reciclaje de electrónicos?,¿Qué características le gustaría ver en una aplicación de gestión de residuos electrónicos?,"¿Está familiarizado con el concepto de ""Ciudad Inteligente""?",¿Cuántos dispositivos electrónicos ha reemplazado o reparado en el último año?,¿Qué tipo de prácticas sostenibles sigue con respecto a sus dispositivos electrónicos? 
9/11/2024 21:56:24,18-24 años,Educación universitaria,Estudiante,Vivienda compartida,$400 - $800,Sur,"Televisor, Computadora, Teléfono movil inteligente, Electrodomésticos inteligentes (nevera, lavadora, etc.)",Cada 3-5 años,1,0,Intenta repararlo usted mismo,Los guarda,Nunca,"Computadora, Teléfono móvil básico",Teléfono móvil inteligente,No,No,Muy importante,Falta de información,"Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)",No,Si,Cómodo,Recompensas por reciclar,Sí,1,Reparación
9/16/2024 23:22:45,18-24 años,Educación universitaria,Estudiante,Apartamento,Menos de $400,Sur,"Televisor, Computadora, Teléfono movil inteligente, Electrodomésticos inteligentes (nevera, lavadora, etc.)",Cada 3-5 años,1,0,Intenta repararlo usted mismo,Los guarda,Nunca,Teléfono móvil inteligente,Computadora,No,No,Muy importante,Falta de información,"Incentivos económicos (descuentos en compras futuras, dinero por dispositivo)",Sí,Si,Cómodo,"Información sobre puntos de reciclaje cercanos, Recompensas por reciclar",Sí,1,Reparación
9/16/2024 23:28:54,18-24 años,Educación universitaria,Estudiante,Casa,$400 - $800,Norte,"Televisor, Computadora, Teléfono movil inteligente",Cada 3-5 años,2,1,Lo lleva a un servicio técnico,Los tira a la basura,A veces,"Televisor, Computadora, Teléfono móvil inteligente","Televisor, Computadora, Teléfono móvil inteligente",No,No,Importante,Falta de centros de reciclaje,"Incentivos económicos (descuentos en compras futuras, dinero por dispositivo), Más puntos de recolección cerca de mi domicilio, Conocer el impacto ambiental positivo de mi acción",No,Si,Muy cómodo,"Información sobre puntos de reciclaje cercanos, Información sobre el impacto ambiental de los dispositivos, Recompensas por reciclar",Sí,2,Reparación
9/16/2024 23:35:29,25-34 años,Educación técnica o tecnológica,Estudiante,Vivienda compartida,Menos de $400,Norte,"Televisor, Computadora, Teléfono movil inteligente",Cada 6-10 años,2,2,Lo lleva a un servicio técnico,Los guarda,Nunca,"Televisor, Computadora, Teléfono móvil inteligente",Teléfono móvil inteligente,No,No,Importante,Falta de información,Mayor información sobre cómo y dónde reciclar,No,Si,Cómodo,Recompensas por reciclar,No,2,Reutilización
9/17/2024 0:34:09,18-24 años,Educación universitaria,Estudiante,Casa,No genero ingreso,Norte,"Televisor, Computadora, Teléfono movil inteligente, Tablet, Electrodomésticos inteligentes (nevera, lavadora, etc.)",Cada 3-5 años,2,0,Lo guarda sin usar,Los lleva a un centro de reciclaje,A veces,Televisor,Televisor,No,No,Muy importante,Falta de centros de reciclaje,"Incentivos económicos (descuentos en compras futuras, dinero por dispositivo), Mayor información sobre cómo y dónde reciclar, Más puntos de recolección cerca de mi domicilio, Garantía de que los datos personales serán eliminados de forma segura",No,Si,Cómodo,"Recordatorios para reciclar dispositivos en desuso, Información sobre el impacto ambiental de los dispositivos",Sí,1,Reparación
9/17/2024 10:48:40,18-24 años,Educación universitaria,Estudiante,Casa,$801 - $1200,Norte,"Televisor, Computadora, Teléfono movil inteligente, Tablet, Electrodomésticos inteligentes (nevera, lavadora, etc.)",Cada 3-5 años,2,1,Lo lleva a un servicio técnico,Los dona,Nunca,Ninguno,"Computadora, Baterías",No,No,Importante,Falta de información,"Incentivos económicos (descuentos en compras futuras, dinero por dispositivo), Mayor información sobre cómo y dónde reciclar, Más puntos de recolección cerca de mi domicilio",No,Si,Cómodo,Información sobre puntos de reciclaje cercanos,Sí,1,Donación
9/17/2024 10:54:39,18-24 años,Educación universitaria,Estudiante,Vivienda compartida,No genero ingreso,Sur,"Televisor, Computadora, Teléfono movil inteligente, Tablet, Consola de videojuegos, Electrodomésticos inteligentes (nevera, lavadora, etc.)",Cada 3-5 años,1,2,Intenta repararlo usted mismo,Los guarda,Nunca,Ninguno,"Baterías, Teléfono móvil básico, Tablet, Dispositivos de domótica (asistentes de voz, termostatos inteligentes, etc.)",No,No,Importante,Falta de información,"Incentivos económicos (descuentos en compras futuras, dinero por dispositivo), Mayor información sobre cómo y dónde reciclar, Garantía de que los datos personales serán eliminados de forma segura, Conocer el impacto ambiental positivo de mi acción",Sí,No,Cómodo,"Información sobre puntos de reciclaje cercanos, Recordatorios para reciclar dispositivos en desuso, Información sobre el impacto ambiental de los dispositivos, Recompensas por reciclar, Consejos para prolongar la vida útil de los dispositivos",Sí,1,Reparación
9/17/2024 10:58:24,35-44 años,Educación técnica o tecnológica,Trabajador a tiempo completo,Apartamento,$400 - $800,Centro,"Televisor, Computadora, Teléfono movil inteligente, Teléfono móvil básico",Cada 3-5 años,2,3,Lo reemplaza por uno nuevo,Los tira a la basura,A veces,"Computadora, Baterías","Computadora, Teléfono móvil inteligente",No,No,Importante,Costos,"Mayor información sobre cómo y dónde reciclar, Más puntos de recolección cerca de mi domicilio",No,Si,Muy cómodo,"Información sobre puntos de reciclaje cercanos, Información sobre el impacto ambiental de los dispositivos",No,1,No conozco sobre prácticas sostenibles
9/17/2024 10:58:50,18-24 años,Educación universitaria,Estudiante,Casa,Menos de $400,Sur,"Televisor, Computadora, Teléfono movil inteligente, Electrodomésticos inteligentes (nevera, lavadora, etc.)",Cada 3-5 años,2,1,Lo lleva a un servicio técnico,Los lleva a un centro de reciclaje,A veces,Teléfono móvil básico,Teléfono móvil básico,Sí,No,Importante,Falta de tiempo,Conocer el impacto ambiental positivo de mi acción,No,Si,Cómodo,Recordatorios para reciclar dispositivos en desuso,Sí,2,Reparación
9/17/2024 11:10:07,25-34 años,Educación universitaria,Trabajador a tiempo completo,Casa,$400 - $800,Centro,"Televisor, Computadora, Teléfono movil inteligente, Teléfono móvil básico",Cada 6-10 años,2,1,Lo lleva a un servicio técnico,Los guarda,Nunca,Ninguno,Computadora,No,No,Muy importante,Falta de centros de reciclaje,"Incentivos económicos (descuentos en compras futuras, dinero por dispositivo), Mayor información sobre cómo y dónde reciclar",No,Si,Cómodo,"Recordatorios para reciclar dispositivos en desuso, Recompensas por reciclar",No,3,Reparación
